gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
HEATR5A	24	24	24	24
HERC3	24	24	24	24
HEXA	24	24	24	24
HIP1	24	24	24	24
HNRNPF	24	24	24	24
HNRNPR	24	24	24	24
HOOK1	24	24	24	24
HOXA2	24	24	24	24
HOXA7	24	24	24	24
HSF1	24	24	24	24
HSP90AA1	24	24	24	24
HSPA12A	24	24	24	24
ICA1	24	24	24	24
ID1	24	24	24	24
IFRD1	24	24	24	24
IGF2BP1	24	24	24	24
IL16	24	24	24	24
INPP4A	24	24	24	24
ISL1	24	24	24	24
ITCH	24	24	24	24
ITGA4	24	24	24	24
JAG1	24	24	24	24
KCND2	24	24	24	24
KCTD2	24	24	24	24
KDM2A	24	24	24	24
KHDRBS1	24	24	24	24
KIAA1217	24	24	24	24
KIF1B	24	24	24	24
KIF5B	24	24	24	24
KIF16B	24	24	24	24
KIFC2	24	24	24	24
KLF10	24	24	24	24
KLHL2	24	24	24	24
KLHL11	24	24	24	24
KLHL26	24	24	24	24
KSR1	24	24	24	24
LARP1	24	24	24	24
LBX1	24	24	24	24
LCOR	24	24	24	24
LDB1	24	24	24	24
LETM1	24	24	24	24
LHX2	24	24	24	24
LHX6	24	24	24	24
LIMCH1	24	24	24	24
LIMK1	24	24	24	24
LIN28A	24	24	24	24
LLGL1	24	24	24	24
LMBR1	24	24	24	24
LMCD1	24	24	24	24
LPP	24	24	24	24
LRBA	24	24	24	24
LRP1	24	24	24	24
LRRC1	24	24	24	24
LSM14A	24	24	24	24
LYPLA1	24	24	24	24
LYSMD3	24	24	24	24
MAB21L1	24	24	24	24
MACROD1	24	24	24	24
MAGT1	24	24	24	24
MAN1A1	24	24	24	24
MAN2A1	24	24	24	24
MAP2K3	24	24	24	24
MAP3K2	24	24	24	24
MAPKBP1	24	24	24	24
MARCH2	24	24	24	24
MAT1A	24	24	24	24
MBD2	24	24	24	24
MCTP1	24	24	24	24
MECOM	24	24	24	24
MED13	24	24	24	24
MEIS1	24	24	24	24
MET	24	24	24	24
MGRN1	24	24	24	24
MICALL1	24	24	24	24
MIER1	24	24	24	24
MKNK1	24	24	24	24
KMT2A	24	24	24	24
MLLT1	24	24	24	24
MLLT10	24	24	24	24
MLXIP	24	24	24	24
MME	24	24	24	24
MOB1A	24	24	24	24
MPRIP	24	24	24	24
MSI1	24	24	24	24
MSX1	24	24	24	24
MTMR3	24	24	24	24
MTMR10	24	24	24	24
MTSS1	24	24	24	24
MYB	24	24	24	24
NAA15	24	24	24	24
NAB1	24	24	24	24
NAV1	24	24	24	24
NBEAL1	24	24	24	24
NCOA1	24	24	24	24
NCOR1	24	24	24	24
NDE1	24	24	24	24
NDFIP1	24	24	24	24
NEDD4	24	24	24	24
NEK6	24	24	24	24
NFKBID	24	24	24	24
NID1	24	24	24	24
NIPAL1	24	24	24	24
NKTR	24	24	24	24
NKX2-1	24	24	24	24
NLGN1	24	24	24	24
NLN	24	24	24	24
NOTCH1	24	24	24	24
NOVA1	24	24	24	24
NPR1	24	24	24	24
NR2C1	24	24	24	24
NRBP1	24	24	24	24
NT5C2	24	24	24	24
NUCB1	24	24	24	24
NUMB	24	24	24	24
ORMDL1	24	24	24	24
OSBP	24	24	24	24
