gene	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time2_residual_logFC	time2_fdr	time2_significant	time2_response
SUZ12	-2.363204478266	4.33424957918904	2.44975551439966e-07	6.69745405745504	5.42329208878287e-05	TRUE	Suppressor
EZH2	-1.85735098476108	4.8149449107639	2.57869001515754e-08	6.67229589552498	9.9902749003895e-06	TRUE	Suppressor
EED	-1.55837324759062	4.55358559565786	5.44395272141992e-06	6.11195884324848	0.000648947082099518	TRUE	Suppressor
MTF2	-1.39726356117276	4.13034663123206	2.44975551439966e-07	5.52761019240483	5.42329208878287e-05	TRUE	Suppressor
MCTS1	-3.95085315620008	0.502127623988249	1.28934500757877e-08	4.45298078018833	5.9941649402337e-06	TRUE	Suppressor
DPH5	-3.6935006925617	0.512593350563301	1.93106097100049e-05	4.206094043125	0.00154784525072091	TRUE	Suppressor
DR1	-3.20296292505128	0.982253492726203	1.28934500757877e-08	4.18521641777748	5.9941649402337e-06	TRUE	Suppressor
HDAC3	-3.34901470313754	0.49645686852972	6.82407794463809e-05	3.84547157166726	0.00352189074094795	TRUE	Suppressor
DPH2	-2.72748208205917	1.05940678704428	3.50701842061425e-06	3.78688886910344	0.000440652125336099	TRUE	Suppressor
DPH1	-2.35017195233911	1.399663294858	1.28934500757877e-08	3.74983524719711	5.9941649402337e-06	TRUE	Suppressor
GSK3B	0.577596034692509	4.31728336286478	1.28934500757877e-08	3.73968732817227	5.9941649402337e-06	TRUE	Suppressor
MBTPS1	-4.84769601897242	-1.13806674426924	7.33862784752572e-06	3.70962927470318	0.000800888003106088	TRUE	Suppressor
PPP2R2A	-2.15587966229019	1.52766913965428	1.25066465735141e-06	3.68354880194447	0.000207654999715239	TRUE	Suppressor
FOXRED1	-5.01181924630483	-1.36095222848284	2.23314159607908e-05	3.65086701782198	0.00173031254669528	TRUE	Suppressor
MTX2	-3.92836616016868	-0.318302970262233	5.15738003031508e-08	3.61006318990644	1.59844398406232e-05	TRUE	Suppressor
CABIN1	-1.28637695511073	2.2621431598249	1.28934500757877e-08	3.54852011493563	5.9941649402337e-06	TRUE	Suppressor
MRM3	-5.69872032821728	-2.20551785937357	7.40765414789455e-06	3.4932024688437	0.000800888003106088	TRUE	Suppressor
HEATR3	-3.84981014888782	-0.378029561123403	0.00104867365946763	3.47178058776441	0.0234388646291588	FALSE	None
CNOT3	-4.18533384565292	-0.811538187672994	0.000327833891634282	3.37379565797993	0.0105110328428123	FALSE	None
GSK3A	0.525467141024398	3.89776762416916	8.63861155077776e-07	3.37230048314476	0.000160643620398263	TRUE	Suppressor
FANCA	-3.65583381542892	-0.321663636135168	1.28934500757877e-08	3.33417017929375	5.9941649402337e-06	TRUE	Suppressor
STK11	-1.88170720706534	1.39445236306228	2.74135319414306e-05	3.27615957012762	0.00184703637674943	TRUE	Suppressor
MAU2	-2.79581857314693	0.374891081706725	1.54721400909452e-07	3.17070965485366	3.7857883833055e-05	TRUE	Suppressor
BTAF1	-3.19213158468937	-0.120621217579108	0.000969117971312213	3.07151036711027	0.0226032649938969	FALSE	None
NDUFB10	-6.06539890447077	-3.06153823327201	4.37931562550244e-05	3.00386067119876	0.00249708139461443	TRUE	Suppressor
MTFMT	-3.98296687579003	-0.992883882856338	0.00104731999568403	2.99008299293369	0.0234388646291588	FALSE	None
SETDB1	-2.8053416724375	0.170757666923119	3.43223641017469e-05	2.97609933936061	0.00209953514090817	TRUE	Suppressor
NDUFAF4	-3.55671881044549	-0.634928979564875	0.000478140702610511	2.92178983088062	0.0140688362432675	FALSE	None
CHD8	-1.78586029254965	1.13020394828349	0.000188881145290245	2.91606424083314	0.00686022222229959	TRUE	Suppressor
MTCH2	-5.03761954646323	-2.14049431449591	7.54184454417818e-05	2.89712523196732	0.00369074055640888	TRUE	Suppressor
GPI	-5.38448652490328	-2.50756894092176	0.000134479951258796	2.87691758398152	0.00562521375339518	TRUE	Suppressor
MED24	-1.45597869946684	1.41754247484895	0.000775991697370193	2.87352117431579	0.019579837669305	FALSE	None
