gene1	gene2	time1_n_observed	time2_n_observed	n_expected_gene1_cas9	n_expected_gene2_cpf1
ATP6V1C1	ATP6V1C2	15	15	3	5
ATP6V1C2	ATP6V1C1	15	15	3	5
ATP8A1	ATP8A2	15	15	3	5
ATP8A2	ATP8A1	15	15	3	5
ATP9A	ATP9B	15	15	3	5
ATP9B	ATP9A	15	15	3	5
ATRN	ATRNL1	15	15	3	5
ATRNL1	ATRN	15	15	3	5
ATXN1L	ATXN1	15	15	3	5
ATXN1	ATXN1L	15	15	3	5
ATXN7	ATXN7L2	15	15	3	5
ATXN7L2	ATXN7	15	15	3	5
AUH	ECHDC2	15	15	3	5
ECHDC2	AUH	15	15	3	5
AXIN1	AXIN2	15	15	3	5
AXIN2	AXIN1	15	15	3	5
B4GALT5	B4GALT6	15	15	3	5
B4GALT6	B4GALT5	15	15	3	5
BACH1	BACH2	15	15	3	5
BACH2	BACH1	15	15	3	5
BAG3	BAG4	15	15	3	5
BAG4	BAG3	15	15	3	5
BAIAP3	UNC13D	15	15	3	5
UNC13D	BAIAP3	15	15	3	5
PIK3AP1	BANK1	15	15	3	5
BANK1	PIK3AP1	15	15	3	5
BCOR	BCORL1	15	15	3	5
BCORL1	BCOR	15	15	3	5
TJAP1	BEGAIN	15	15	3	5
BEGAIN	TJAP1	15	15	3	5
BMI1	PCGF2	15	15	3	5
PCGF2	BMI1	15	15	3	5
BMPR1A	BMPR1B	15	15	3	5
BMPR1B	BMPR1A	15	15	3	5
BRD7	BRD9	15	15	3	5
BRD9	BRD7	15	15	3	5
BRMS1	BRMS1L	15	15	3	5
BRMS1L	BRMS1	15	15	3	5
BTBD2	BTBD1	15	15	3	5
BTBD1	BTBD2	15	15	3	5
BTBD3	BTBD6	15	15	3	5
BTBD6	BTBD3	15	15	3	5
KCTD20	BTBD10	15	15	3	5
BTBD10	KCTD20	15	15	3	5
FBXW11	BTRC	15	15	3	5
BTRC	FBXW11	15	15	3	5
CAB39	CAB39L	15	15	3	5
CAB39L	CAB39	15	15	3	5
CALB2	CALB1	15	15	3	5
CALB1	CALB2	15	15	3	5
CALM2	CALM1	15	15	3	5
CALM1	CALM2	5	5	1	5
CAMKK2	CAMKK1	15	15	3	5
CAMKK1	CAMKK2	15	15	3	5
CAND1	CAND2	15	15	3	5
CAND2	CAND1	15	15	3	5
CANX	CLGN	15	15	3	5
CLGN	CANX	15	15	3	5
CAPRIN1	CAPRIN2	15	15	3	5
CAPRIN2	CAPRIN1	15	15	3	5
CASKIN2	CASKIN1	15	15	3	5
CASKIN1	CASKIN2	15	15	3	5
CASP7	CASP3	15	15	3	5
CASP3	CASP7	15	15	3	5
CBX1	CBX5	15	15	3	5
CBX5	CBX1	12	12	3	4
CC2D1B	CC2D1A	15	15	3	5
CC2D1A	CC2D1B	15	15	3	5
CCDC102A	CCDC102B	15	15	3	5
CCDC102B	CCDC102A	15	15	3	5
CCNA2	CCNA1	15	15	15	5
CCNA1	CCNA2	15	15	3	5
CCNB1	CCNB2	15	15	3	5
CCNB2	CCNB1	15	15	3	5
CCND1	CCND2	15	15	3	5
CCND2	CCND1	15	15	3	5
CCNE2	CCNE1	15	15	3	10
CCNE1	CCNE2	15	15	6	5
CCNG1	CCNG2	15	15	3	5
CCNG2	CCNG1	15	15	3	5
CCNJ	CCNJL	15	15	3	5
CCNJL	CCNJ	15	15	3	5
CCNL2	CCNL1	15	15	3	5
CCNL1	CCNL2	15	15	3	5
CCNT1	CCNT2	15	15	3	5
CCNT2	CCNT1	15	15	3	5
CCNY	CCNYL1	15	15	3	5
CCNYL1	CCNY	15	15	3	5
CD151	TSPAN11	15	15	3	5
TSPAN11	CD151	15	15	3	5
CDC34	UBE2R2	15	15	3	5
UBE2R2	CDC34	12	12	3	4
CDK2	CDK3	15	15	6	5
CDK3	CDK2	15	15	3	10
CDK2AP1	CDK2AP2	6	6	3	2
CDK2AP2	CDK2AP1	9	9	3	3
CDK12	CDK13	15	15	3	5
CDK13	CDK12	15	15	3	5
CDK14	CDK15	15	15	3	5
CDK15	CDK14	15	15	3	5
CDKL3	CDKL2	15	15	3	5
CDKL2	CDKL3	15	15	3	5
CEP85	CEP85L	15	15	3	5
CEP85L	CEP85	15	15	3	5
CERS5	CERS6	15	15	3	5
CERS6	CERS5	15	15	3	5
CHCHD3	CHCHD6	15	15	3	5
CHCHD6	CHCHD3	15	15	3	5
CHD1	CHD2	15	15	3	5
CHD2	CHD1	15	15	3	5
CHD3	CHD5	15	15	3	5
CHD5	CHD3	15	15	3	5
CHIC2	CHIC1	15	15	3	5
CHIC1	CHIC2	15	15	3	5
CHMP4A	CHMP4C	15	15	3	5
CHMP4C	CHMP4A	15	15	3	5
CHPF	CHPF2	15	15	3	5
CHPF2	CHPF	15	15	3	5
CHSY1	CHSY3	15	15	3	5
CHSY3	CHSY1	15	15	3	5
CLCN3	CLCN4	15	15	3	5
CLCN4	CLCN3	15	15	3	5
CLIP1	CLIP2	15	15	3	5
CLIP2	CLIP1	15	15	3	5
NPAS2	CLOCK	15	15	3	5
CLOCK	NPAS2	15	15	3	5
CLTC	CLTCL1	15	15	15	5
CLTCL1	CLTC	15	15	3	5
CNKSR3	CNKSR1	15	15	3	5
CNKSR1	CNKSR3	15	15	3	5
CNOT7	CNOT8	15	15	3	5
CNOT8	CNOT7	15	15	3	5
THBS3	COMP	15	15	3	5
COMP	THBS3	15	15	3	5
COPG1	COPG2	15	15	3	5
COPG2	COPG1	15	15	3	5
COPZ1	COPZ2	15	15	15	5
COPZ2	COPZ1	15	15	3	5
COQ10B	COQ10A	15	15	3	5
COQ10A	COQ10B	15	15	3	5
CORO2A	CORO2B	15	15	3	5
CORO2B	CORO2A	15	15	3	5
CRABP2	CRABP1	15	15	3	5
CRABP1	CRABP2	15	15	3	5
